number,player,position,ht,wt,DOB,country,exp,college,team
55,Duncan Robinson,SF,6-7,215,"April 22, 1994",us,2,"Williams, Michigan",MIA
5,Precious Achiuwa,PF,6-8,225,"September 19, 1999",ng,R,Memphis,MIA
13,Bam Adebayo,C,6-9,255,"July 18, 1997",us,3,Kentucky,MIA
28,Andre Iguodala,SF,6-6,215,"January 28, 1984",us,16,Arizona,MIA
14,Tyler Herro,SG,6-5,195,"January 20, 2000",us,1,Kentucky,MIA
25,Kendrick Nunn,PG,6-2,190,"August 3, 1995",us,1,"Illinois, Oakland",MIA
22,Jimmy Butler,SF,6-7,230,"September 14, 1989",us,9,Marquette,MIA
2,Gabe Vincent,PG,6-3,200,"June 14, 1996",us,1,UC Santa Barbara,MIA
7,Goran Dragić,PG,6-3,190,"May 6, 1986",si,12,,MIA
31,Max Strus,SF,6-5,215,"March 28, 1996",us,1,"Lewis (IL), DePaul",MIA
"4, 11",KZ Okpala,PF,6-8,215,"April 28, 1999",us,1,Stanford,MIA
"0, 8",Trevor Ariza,SF,6-8,215,"June 30, 1985",us,16,UCLA,MIA
70,Nemanja Bjelica,PF,6-10,234,"May 9, 1988",rs,5,,MIA
4,Victor Oladipo,SG,6-4,213,"May 4, 1992",us,7,Indiana,MIA
21,Dewayne Dedmon,C,7-0,245,"August 12, 1989",us,7,USC,MIA
,Udonis Haslem,C,6-8,235,"June 9, 1980",us,17,Florida,MIA
11,Brook Lopez,C,7-0,282,"April 1, 1988",us,12,Stanford,MIL
7,Bryn Forbes,SG,6-2,205,"July 23, 1993",us,4,Michigan State,MIL
22,Khris Middleton,SF,6-7,222,"August 12, 1991",us,8,Texas A&M,MIL
24,Pat Connaughton,SG,6-5,209,"January 6, 1993",us,5,Notre Dame,MIL
9,Bobby Portis,C,6-10,250,"February 10, 1995",us,5,Arkansas,MIL
0,Donte DiVincenzo,SG,6-4,203,"January 31, 1997",us,2,Villanova,MIL
34,Giannis Antetokounmpo,PF,6-11,242,"December 6, 1994",gr,7,,MIL
21,Jrue Holiday,PG,6-3,205,"June 12, 1990",us,11,UCLA,MIL
43,Thanasis Antetokounmpo,SF,6-6,219,"July 18, 1992",gr,2,,MIL
15,Sam Merrill,SG,6-4,205,"May 15, 1996",us,R,Utah State University,MIL
13,Jordan Nwora,SF,6-8,225,"September 9, 1998",us,R,Louisville,MIL
25,Mamadi Diakite,PF,6-9,228,"January 21, 1997",gn,R,Virginia,MIL
5,Jeff Teague,PG,6-3,195,"June 10, 1988",us,11,Wake Forest,MIL
66,Axel Toupane,SF,6-7,197,"July 23, 1992",fr,2,,MIL
17,P.J. Tucker,PF,6-5,245,"May 5, 1985",us,9,Texas,MIL
0,Rodions Kurucs,SF,6-9,228,"February 5, 1998",lv,2,,MIL
5,Eric Bledsoe,SG,6-1,214,"December 9, 1989",us,10,Kentucky,NOP
12,Steven Adams,C,6-11,265,"July 20, 1993",nz,7,Pitt,NOP
1,Zion Williamson,PF,6-7,284,"July 6, 2000",us,1,Duke,NOP
14,Brandon Ingram,SF,6-8,190,"September 2, 1997",us,4,Duke,NOP
3,Josh Hart,SF,6-5,215,"March 6, 1995",us,3,Villanova,NOP
10,Jaxson Hayes,C,6-11,220,"May 23, 2000",us,1,Texas,NOP
2,Lonzo Ball,PG,6-6,190,"October 27, 1997",us,3,UCLA,NOP
6,Nickeil Alexander-Walker,SG,6-6,205,"September 2, 1998",ca,1,Virginia Tech,NOP
13,Kira Lewis Jr.,PG,6-1,170,"April 6, 2001",us,R,Alabama,NOP
9,Willy Hernangómez,C,6-11,250,"May 27, 1994",es,4,,NOP
8,Naji Marshall,SF,6-7,220,"January 24, 1998",us,R,Xavier,NOP
15,Sindarius Thornwell,SG,6-4,215,"November 15, 1994",us,3,South Carolina,NOP
16,James Johnson,PF,6-7,240,"February 20, 1987",us,11,Wake Forest,NOP
4,Wesley Iwundu,SF,6-6,195,"December 20, 1994",us,3,Kansas State,NOP
32,Wenyen Gabriel,PF,6-9,205,"March 26, 1997",sd,1,Kentucky,NOP
24,Isaiah Thomas,PG,5-9,185,"February 7, 1989",us,9,Washington,NOP
21,James Nunnally,SF,6-7,208,"July 14, 1990",us,2,UC Santa Barbara,NOP
25,Jakob Poeltl,C,7-1,245,"October 15, 1995",at,4,Utah,SAS
5,Dejounte Murray,PG,6-4,180,"September 19, 1996",us,3,Washington,SAS
8,Patty Mills,PG,6-1,180,"August 11, 1988",au,11,Saint Mary's,SAS
3,Keldon Johnson,SF,6-5,220,"October 11, 1999",us,1,Kentucky,SAS
22,Rudy Gay,PF,6-8,250,"August 17, 1986",us,14,UConn,SAS
10,DeMar DeRozan,PF,6-6,220,"August 7, 1989",us,11,USC,SAS
24,Devin Vassell,SF,6-5,200,"August 23, 2000",us,R,Florida State,SAS
1,Lonnie Walker,SG,6-4,204,"December 14, 1998",us,2,Miami (FL),SAS
14,Drew Eubanks,C,6-9,245,"February 1, 1997",us,2,Oregon State,SAS
4,Derrick White,SG,6-4,190,"July 2, 1994",us,3,"Colorado-Colorado Springs, Colorado",SAS
33,Tre Jones,PG,6-1,185,"January 8, 2000",us,R,Duke,SAS
41,Trey Lyles,PF,6-9,234,"November 5, 1995",ca,5,Kentucky,SAS
19,Luka Šamanić,PF,6-10,227,"January 9, 2000",hr,1,,SAS
31,Keita Bates-Diop,SF,6-8,229,"January 23, 1996",us,2,Ohio State,SAS
15,Quinndary Weatherspoon,SG,6-3,205,"September 10, 1996",us,1,Mississippi State,SAS
7,Gorgui Dieng,C,6-10,252,"January 18, 1990",sn,7,Louisville,SAS
23,Cameron Reynolds,SF,6-7,225,"February 7, 1995",us,1,Tulane,SAS
12,Joe Harris,SF,6-6,220,"September 6, 1991",us,6,Virginia,BRK
8,Jeff Green,C,6-8,235,"August 28, 1986",us,12,Georgetown,BRK
1,Bruce Brown,PG,6-4,202,"August 15, 1996",us,2,Miami (FL),BRK
6,DeAndre Jordan,C,6-11,265,"July 21, 1988",us,12,Texas A&M,BRK
9,Timothé Luwawu-Cabarrot,SF,6-7,220,"May 9, 1995",fr,4,,BRK
"13, 20",Landry Shamet,SG,6-4,190,"March 13, 1997",us,2,Wichita State,BRK
11,Kyrie Irving,PG,6-2,195,"March 23, 1992",au,9,Duke,BRK
13,James Harden,PG,6-5,220,"August 26, 1989",us,11,Arizona State,BRK
10,Tyler Johnson,SG,6-3,186,"May 7, 1992",us,6,Fresno State,BRK
33,Nicolas Claxton,C,6-11,215,"April 17, 1999",us,1,Georgia,BRK
7,Kevin Durant,PF,6-10,240,"September 29, 1988",us,12,Texas,BRK
4,Chris Chiozza,PG,5-11,175,"November 21, 1995",us,2,Florida,BRK
"0, 14",Reggie Perry,PF,6-8,250,"March 21, 2000",us,R,Mississippi State,BRK
2,Blake Griffin,PF,6-10,250,"March 16, 1989",us,10,Oklahoma,BRK
24,Alize Johnson,PF,6-7,212,"April 22, 1996",us,2,Missouri State,BRK
21,LaMarcus Aldridge,C,6-11,250,"July 19, 1985",us,14,Texas,BRK
22,Andre Roberson,SG,6-7,210,"December 4, 1991",us,6,Colorado,BRK
26,Spencer Dinwiddie,SG,6-5,215,"April 6, 1993",us,6,Colorado,BRK
21,Iman Shumpert,SG,6-5,215,"June 26, 1990",us,9,Georgia Tech,BRK
22,Deandre Ayton,C,6-11,250,"July 23, 1998",bs,2,Arizona,PHO
25,Mikal Bridges,SF,6-6,209,"August 30, 1996",us,2,Villanova,PHO
3,Chris Paul,PG,6-0,175,"May 6, 1985",us,15,Wake Forest,PHO
99,Jae Crowder,PF,6-6,235,"July 6, 1990",us,8,Marquette,PHO
1,Devin Booker,SG,6-5,206,"October 30, 1996",us,5,Kentucky,PHO
23,Cameron Johnson,PF,6-8,210,"March 3, 1996",us,1,"Pitt, UNC",PHO
15,Cameron Payne,PG,6-1,183,"August 8, 1994",us,5,Murray State,PHO
4,Jevon Carter,PG,6-1,200,"September 14, 1995",us,2,West Virginia,PHO
20,Dario Šarić,C,6-10,225,"April 8, 1994",hr,4,,PHO
8,Frank Kaminsky,C,7-0,240,"April 4, 1993",us,5,Wisconsin,PHO
2,Langston Galloway,SG,6-1,200,"December 9, 1991",us,6,Saint Joseph's,PHO
11,Abdel Nader,SF,6-5,225,"September 25, 1993",eg,3,"Northern Illinois, Iowa State",PHO
55,E'Twaun Moore,SG,6-3,191,"February 25, 1989",us,9,Purdue,PHO
10,Jalen Smith,PF,6-10,215,"March 16, 2000",us,R,Maryland,PHO
12,Torrey Craig,SF,6-7,221,"December 19, 1990",us,3,USC Upstate,PHO
0,Ty-Shon Alexander,SG,6-3,195,"July 16, 1998",us,R,Creighton,PHO
21,Tyus Jones,PG,6-0,196,"May 10, 1996",us,5,Duke,MEM
1,Kyle Anderson,PF,6-9,230,"September 20, 1993",us,6,UCLA,MEM
24,Dillon Brooks,SF,6-7,225,"January 22, 1996",ca,3,Oregon,MEM
22,Desmond Bane,SG,6-5,215,"June 25, 1998",us,R,TCU,MEM
17,Jonas Valančiūnas,C,6-11,265,"May 6, 1992",lt,8,,MEM
12,Ja Morant,PG,6-3,174,"August 10, 1999",us,1,Murray State,MEM
15,Brandon Clarke,PF,6-8,215,"September 19, 1996",ca,1,"San Jose State, Gonzaga",MEM
2,Xavier Tillman Sr.,PF,6-8,245,"January 12, 1999",us,R,Michigan State,MEM
3,Grayson Allen,SG,6-4,198,"October 8, 1995",us,2,Duke,MEM
0,De'Anthony Melton,PG,6-2,200,"May 28, 1998",us,2,USC,MEM
46,John Konchar,SG,6-5,210,"March 22, 1996",us,1,Purdue-Fort Wayne,MEM
7,Justise Winslow,SF,6-6,222,"March 26, 1996",us,5,Duke,MEM
30,Sean McDermott,SF,6-6,195,"November 3, 1996",us,R,Butler,MEM
35,Killian Tillie,C,6-9,220,"March 5, 1998",fr,R,Gonzaga,MEM
4,Jontay Porter,PF,6-11,240,"November 15, 1999",us,R,Missouri,MEM
10,Tim Frazier,PG,6-0,170,"November 1, 1990",us,6,Penn State,MEM
NA,Jaren Jackson Jr.,C,6-11,242,"September 15, 1999",us,2,Michigan State,MEM
35,Isaac Okoro,SG,6-5,225,"January 26, 2001",us,R,Auburn,CLE
16,Cedi Osman,SF,6-7,230,"April 8, 1995",mk,3,,CLE
2,Collin Sexton,SG,6-1,190,"January 4, 1999",us,2,Alabama,CLE
32,Dean Wade,PF,6-9,228,"November 20, 1996",us,1,Kansas State,CLE
10,Darius Garland,PG,6-1,192,"January 26, 2000",us,1,Vanderbilt,CLE
8,Lamar Stevens,PF,6-6,230,"July 9, 1997",us,R,Penn State,CLE
31,Jarrett Allen,C,6-11,243,"April 21, 1998",us,3,Texas,CLE
21,Damyean Dotson,SG,6-5,210,"May 6, 1994",us,3,"Oregon, Houston",CLE
22,Larry Nance Jr.,PF,6-7,245,"January 1, 1993",us,5,Wyoming,CLE
9,Dylan Windler,SF,6-6,196,"September 22, 1996",us,R,Belmont,CLE
12,Taurean Prince,PF,6-7,218,"March 22, 1994",us,4,Baylor,CLE
33,Brodric Thomas,SG,6-5,185,"January 28, 1997",us,R,Truman State University,CLE
0,Kevin Love,PF,6-8,251,"September 7, 1988",us,12,UCLA,CLE
55,Isaiah Hartenstein,C,7-0,250,"May 5, 1998",us,2,,CLE
18,Matthew Dellavedova,PG,6-3,200,"September 8, 1990",au,7,Saint Mary's,CLE
4,Quinn Cook,PG,6-1,180,"March 23, 1993",us,4,Duke,CLE
27,Mfiondu Kabengele,PF,6-9,250,"August 14, 1997",ca,1,Florida State,CLE
8,Dwayne Bacon,SG,6-6,221,"August 30, 1995",us,3,Florida State,ORL
31,Terrence Ross,SG,6-6,206,"February 5, 1991",us,8,Washington,ORL
11,James Ennis,SF,6-6,215,"July 1, 1990",us,6,Cal State Long Beach,ORL
3,Chuma Okeke,PF,6-6,229,"August 18, 1998",us,R,Auburn,ORL
5,Mo Bamba,C,7-0,231,"May 12, 1998",us,2,Texas,ORL
50,Cole Anthony,PG,6-2,185,"May 15, 2000",us,R,UNC,ORL
7,Michael Carter-Williams,SG,6-5,190,"October 10, 1991",us,7,Syracuse,ORL
25,Chasson Randle,PG,6-2,185,"February 5, 1993",us,3,Stanford,ORL
34,Wendell Carter Jr.,C,6-10,270,"April 16, 1999",us,2,Duke,ORL
13,R.J. Hampton,SG,6-4,175,"February 7, 2001",us,R,,ORL
20,Markelle Fultz,PG,6-3,209,"May 29, 1998",us,3,Washington,ORL
14,Gary Harris,SG,6-4,210,"September 14, 1994",us,6,Michigan State,ORL
22,Otto Porter,PF,6-8,198,"June 3, 1993",us,7,Georgetown,ORL
0,Robert Franks,PF,6-7,225,"December 18, 1996",us,R,Washington State,ORL
45,Donta Hall,PF,6-9,232,"August 7, 1997",us,1,Alabama,ORL
NA,Jonathan Isaac,PF,6-11,230,"October 3, 1997",us,3,Florida State,ORL
"9, 44",Patrick Williams,PF,6-7,215,"August 26, 2001",us,R,Florida State,CHI
8,Zach LaVine,SG,6-5,200,"March 10, 1995",us,6,UCLA,CHI
0,Coby White,PG,6-5,195,"February 16, 2000",us,1,UNC,CHI
21,Thaddeus Young,PF,6-8,235,"June 21, 1988",us,13,Georgia Tech,CHI
45,Denzel Valentine,SG,6-4,220,"November 16, 1993",us,3,Michigan State,CHI
31,Tomáš Satoranský,SG,6-7,210,"October 30, 1991",cz,4,,CHI
17,Garrett Temple,SG,6-5,195,"May 8, 1986",us,10,LSU,CHI
24,Lauri Markkanen,PF,7-0,240,"May 22, 1997",fi,3,Arizona,CHI
51,Ryan Arcidiacono,PG,6-3,195,"March 26, 1994",us,3,Villanova,CHI
9,Nikola Vučević,C,6-11,260,"October 24, 1990",ch,9,USC,CHI
7,Troy Brown Jr.,SF,6-6,215,"July 28, 1999",us,2,Oregon,CHI
27,Daniel Theis,C,6-8,245,"April 4, 1992",de,3,,CHI
6,Cristiano Felício,C,6-11,270,"July 7, 1992",br,5,,CHI
20,Adam Mokoka,SG,6-4,190,"July 18, 1998",fr,1,,CHI
3,Devon Dotson,PG,6-2,185,"August 2, 1999",us,R,Kansas,CHI
11,Javonte Green,PG,6-4,205,"July 23, 1993",us,1,Radford,CHI
5,Al-Farouq Aminu,PF,6-8,220,"September 21, 1990",us,10,Wake Forest,CHI
15,Montrezl Harrell,C,6-7,240,"January 26, 1994",us,5,Louisville,LAL
0,Kyle Kuzma,SF,6-10,221,"July 24, 1995",us,3,Utah,LAL
17,Dennis Schröder,SG,6-3,172,"September 15, 1993",de,7,,LAL
1,Kentavious Caldwell-Pope,SG,6-5,204,"February 18, 1993",us,7,Georgia,LAL
5,Talen Horton-Tucker,SG,6-4,234,"November 25, 2000",us,1,Iowa State,LAL
88,Markieff Morris,PF,6-9,245,"September 2, 1989",us,9,Kansas,LAL
9,Wesley Matthews,SG,6-4,220,"October 14, 1986",us,11,Marquette,LAL
4,Alex Caruso,PG,6-4,186,"February 28, 1994",us,3,Texas A&M,LAL
14,Marc Gasol,C,6-11,255,"January 29, 1985",es,12,,LAL
23,LeBron James,PG,6-9,250,"December 30, 1984",us,17,,LAL
28,Alfonzo McKinnie,SF,6-7,215,"September 17, 1992",us,3,Green Bay,LAL
3,Anthony Davis,PF,6-10,253,"March 11, 1993",us,8,Kentucky,LAL
12,Devontae Cacok,PF,6-7,240,"October 8, 1996",us,1,UNC Wilmington,LAL
37,Kostas Antetokounmpo,PF,6-10,200,"November 20, 1997",gr,2,Dayton,LAL
10,Jared Dudley,PF,6-6,237,"July 10, 1985",us,13,Boston College,LAL
2,Andre Drummond,C,6-10,279,"August 10, 1993",us,8,UConn,LAL
7,Ben McLemore,SG,6-3,195,"February 11, 1993",us,7,Kansas,LAL
11,Enes Kanter,C,6-10,250,"May 20, 1992",ch,9,,POR
00,Carmelo Anthony,PF,6-7,238,"May 29, 1984",us,17,Syracuse,POR
23,Robert Covington,PF,6-7,209,"December 14, 1990",us,7,Tennessee State,POR
0,Damian Lillard,PG,6-2,195,"July 15, 1990",us,8,Weber State,POR
"5, 55",Derrick Jones Jr.,SF,6-5,210,"February 15, 1997",us,4,UNLV,POR
1,Anfernee Simons,SG,6-3,181,"June 8, 1999",us,2,,POR
9,Nassir Little,PF,6-5,220,"February 11, 2000",us,1,UNC,POR
3,CJ McCollum,SG,6-3,190,"September 19, 1991",us,7,Lehigh,POR
4,Harry Giles,C,6-11,240,"April 22, 1998",us,2,Duke,POR
27,Jusuf Nurkić,C,6-11,290,"August 23, 1994",ba,6,,POR
16,CJ Elleby,SF,6-6,200,"June 16, 2000",us,R,Washington State,POR
24,Norman Powell,SF,6-3,215,"May 25, 1993",us,5,UCLA,POR
21,Keljin Blevins,SF,6-4,200,"November 24, 1995",us,R,"Southern Miss, Montana State",POR
2,Rondae Hollis-Jefferson,PF,6-6,217,"January 3, 1995",us,5,Arizona,POR
,T.J. Leaf,F,6-10,222,"April 30, 1997",il,3,UCLA,POR
,Zach Collins,PF,6-11,250,"November 19, 1997",us,3,Gonzaga,POR
25,Chris Boucher,C,6-9,200,"January 11, 1993",lc,3,Oregon,TOR
46,Aron Baynes,C,6-10,260,"December 9, 1986",nz,8,Washington State,TOR
5,Stanley Johnson,PF,6-6,242,"May 29, 1996",us,5,Arizona,TOR
43,Pascal Siakam,PF,6-9,230,"April 2, 1994",cm,4,New Mexico State,TOR
23,Fred VanVleet,SG,6-1,197,"February 25, 1994",us,4,Wichita State,TOR
7,Kyle Lowry,PG,6-0,196,"March 25, 1986",us,14,Villanova,TOR
95,DeAndre' Bembry,SF,6-5,210,"July 4, 1994",us,4,Saint Joseph's,TOR
18,Yuta Watanabe,SF,6-9,215,"October 13, 1994",jp,2,George Washington,TOR
3,OG Anunoby,SF,6-7,232,"July 17, 1997",gb,3,Indiana,TOR
8,Malachi Flynn,PG,6-1,175,"May 10, 1998",us,R,"Washington State, San Diego State",TOR
1,Paul Watson,SF,6-6,210,"December 30, 1994",us,1,Fresno State,TOR
33,Gary Trent Jr.,SG,6-5,209,"January 18, 1999",us,2,Duke,TOR
32,Rodney Hood,SF,6-8,208,"October 20, 1992",us,6,"Mississippi State, Duke",TOR
55,Freddie Gillespie,PF,6-9,245,"June 14, 1997",us,R,"Carleton College, Baylor",TOR
24,Khem Birch,C,6-9,233,"September 28, 1992",ca,3,"Pitt, UNLV",TOR
2,Jalen Harris,SG,6-5,195,"August 14, 1998",us,R,"Nevada, Louisiana Tech",TOR
44,Henry Ellenson,PF,6-10,240,"January 13, 1997",us,4,Marquette,TOR
8,Jae'Sean Tate,SF,6-4,230,"October 28, 1995",us,R,Ohio State,HOU
0,Sterling Brown,SG,6-5,219,"February 10, 1995",us,3,SMU,HOU
1,John Wall,PG,6-3,210,"September 6, 1990",us,9,Kentucky,HOU
35,Christian Wood,C,6-10,214,"September 27, 1995",us,4,UNLV,HOU
4,Danuel House,SF,6-6,220,"June 7, 1993",us,4,Texas A&M,HOU
2,David Nwaba,SF,6-5,219,"January 14, 1993",us,4,Cal Poly,HOU
6,Kenyon Martin Jr.,SF,6-6,215,"January 6, 2001",us,R,,HOU
10,Eric Gordon,SG,6-3,215,"December 25, 1988",us,12,Indiana,HOU
9,Mason Jones,SG,6-4,200,"July 21, 1998",us,R,"Connors State College, Arkansas",HOU
3,Kevin Porter Jr.,SG,6-4,203,"May 4, 2000",us,1,USC,HOU
0,D.J. Wilson,PF,6-10,231,"February 19, 1996",us,3,Michigan,HOU
14,D.J. Augustin,PG,5-11,183,"November 10, 1987",us,12,Texas,HOU
41,Kelly Olynyk,PF,6-11,240,"April 19, 1991",ca,7,Gonzaga,HOU
9,Avery Bradley,SG,6-3,180,"November 26, 1990",us,10,Texas,HOU
33,Anthony Lamb,SF,6-6,227,"January 20, 1998",us,R,University of Vermont,HOU
7,Armoni Brooks,SG,6-3,195,"June 5, 1998",us,R,,HOU
55,DaQuan Jeffries,SG,6-5,230,"August 30, 1997",us,1,"Oral Roberts, Tulsa",HOU
NA,Dante Exum,G,6-5,214,"July 13, 1995",au,5,,HOU
15,Robin Lopez,C,7-0,281,"April 1, 1988",us,12,Stanford,WAS
9,Deni Avdija,SF,6-9,210,"January 3, 2001",il,R,,WAS
19,Raul Neto,PG,6-1,180,"May 19, 1992",br,5,,WAS
24,Garrison Mathews,SG,6-5,215,"October 24, 1996",us,1,Lipscomb,WAS
4,Russell Westbrook,PG,6-3,200,"November 12, 1988",us,12,UCLA,WAS
3,Bradley Beal,SG,6-3,207,"June 28, 1993",us,8,Florida,WAS
8,Rui Hachimura,PF,6-8,230,"February 8, 1998",jp,1,Gonzaga,WAS
42,Dāvis Bertāns,PF,6-10,225,"November 12, 1992",lv,4,,WAS
27,Alex Len,C,7-0,250,"June 16, 1993",ua,7,Maryland,WAS
17,Isaac Bonga,SF,6-8,180,"November 8, 1999",de,2,,WAS
14,Ish Smith,PG,6-0,175,"July 5, 1988",us,10,Wake Forest,WAS
16,Anthony Gill,PF,6-7,230,"October 17, 1992",us,R,"South Carolina, Virginia",WAS
